Order,Material,Material description,Created On,Release date (actual),Confirmed finish date,,Order quantity (GMEIN),Delivered quantity (GMEIN),Change date,Status,Created On (bins),Change date (bins),Closed Date,Closed Date (bins)
2100002546,69563973-0001TS2P,,6-Nov-24,11/6/2024,19-Dec-24,,32,32,1/1/2025,TECO,November 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002530,69563834-0001TS2P,,4-Nov-24,11/4/2024,18-Dec-24,,167,167,1/1/2025,TECO,November 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002526,69913714-0000400P,,1-Nov-24,11/1/2024,2-Dec-24,,18,18,1/1/2025,TECO,November 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002524,69925259-0010200P,,31-Oct-24,10/31/2024,15-Nov-24,,70,70,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002520,69924869-0000TS8P,,30-Oct-24,10/30/2024,18-Dec-24,,100,100,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002521,6991G145-0035EB1P,,30-Oct-24,10/30/2024,15-Nov-24,,14,14,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002522,69213809-0300100P,,30-Oct-24,10/30/2024,12-Nov-24,,15,15,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002523,69925259-0010200P,,30-Oct-24,10/30/2024,15-Nov-24,,300,300,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002515,69926612-0000EBEP1,,29-Oct-24,10/29/2024,15-Nov-24,,5,5,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002517,6992G548-1201EB1P,,29-Oct-24,10/29/2024,5-Nov-24,,5,5,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002518,69915102-0000TS1P,,29-Oct-24,10/29/2024,19-Nov-24,,28,28,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002519,6992G540-0200300P,,29-Oct-24,10/29/2024,5-Nov-24,,32,32,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2300000894,67026287-00A0EBEP,,28-Oct-24,10/28/2024,18-Dec-24,,10,10,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002510,6991G145-0030EB9P,,28-Oct-24,10/28/2024,6-Nov-24,,5,5,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002511,6991G145-0030EB9P,,28-Oct-24,10/28/2024,14-Nov-24,,8,8,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002507,6992G520-0266420P,,26-Oct-24,10/26/2024,6-Nov-24,,16,16,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002509,69925259-0010200P,,26-Oct-24,10/26/2024,15-Nov-24,,100,100,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002505,69915102-0071TS1P,,25-Oct-24,10/25/2024,4-Nov-24,,48,48,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002506,6992G548-1241EB6P,,25-Oct-24,10/25/2024,12-Nov-24,,5,5,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002497,6992G520-0280420P,,24-Oct-24,10/24/2024,6-Nov-24,,5,5,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002498,6992G520-0280420P,,24-Oct-24,10/24/2024,7-Nov-24,,8,8,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002499,6992G520-0266420P,,24-Oct-24,10/24/2024,6-Nov-24,,5,5,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002500,6992G520-0266420P,,24-Oct-24,10/24/2024,6-Nov-24,,8,8,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002502,69918603-0000EB2P,,24-Oct-24,10/24/2024,1-Nov-24,,10,10,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002494,69923958-0000100P,,23-Oct-24,10/23/2024,7-Nov-24,,170,170,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002495,69923177-0000000P,,23-Oct-24,10/23/2024,1-Nov-24,,80,80,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002489,69922021-0600TS1P,,22-Oct-24,10/22/2024,14-Nov-24,,21,21,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002490,69563834-0001TS2P,,22-Oct-24,10/22/2024,1-Nov-24,,2,2,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002483,69924060-0100EB1P,,21-Oct-24,10/21/2024,13-Nov-24,,7,7,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002484,6991G145-0030TS2P,,21-Oct-24,10/21/2024,13-Nov-24,,10,10,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
