Order,Material,Material description,Created On,Release date (actual),Confirmed finish date,System Status,Order quantity (GMEIN),Delivered quantity (GMEIN),Change date,Status,Created On (bins),Closed Date,Closed Date (bins)
2100001286,90013767-0010000Z,,11-Jul-23,11-Jul-23,30-Aug-23,,900,900,1-Jan-24,TECO,July 2023,1/1/2024 0:00,12/31/2023
2100001269,90013701-0040000Z,,3-Jul-23,3-Jul-23,30-Jul-23,,230,230,1-Jan-24,TECO,July 2023,1/1/2024 0:00,12/31/2023
2100001258,69913809-0100100Z,,21-Jun-23,21-Jun-23,27-Jul-23,,120,120,1-Jan-24,TECO,June 2023,1/1/2024 0:00,12/31/2023
2100001257,90082888-0080000Z,,17-Jun-23,17-Jun-23,6-Aug-23,,362,362,1-Jan-24,TECO,June 2023,1/1/2024 0:00,12/31/2023
2100001255,90013701-0080000Z,,16-Jun-23,16-Jun-23,6-Aug-23,,908,908,1-Jan-24,TECO,June 2023,1/1/2024 0:00,12/31/2023
2100001256,90013701-0050000Z,,16-Jun-23,16-Jun-23,13-Jul-23,,298,298,1-Jan-24,TECO,June 2023,1/1/2024 0:00,12/31/2023
2100001250,90013701-0080000Z,,13-Jun-23,13-Jun-23,9-Jul-23,,700,700,1-Jan-24,TECO,June 2023,1/1/2024 0:00,12/31/2023
2100001243,90013767-0030000Z,,8-Jun-23,8-Jun-23,9-Jul-23,,250,250,1-Jan-24,TECO,June 2023,1/1/2024 0:00,12/31/2023
2100001244,90013767-0040000Z,,8-Jun-23,8-Jun-23,13-Jul-23,,250,250,1-Jan-24,TECO,June 2023,1/1/2024 0:00,12/31/2023
2100001234,90013767-0030000Z,,6-Jun-23,6-Jun-23,27-Jun-23,,50,50,1-Jan-24,TECO,June 2023,1/1/2024 0:00,12/31/2023
2100001235,90013767-0040000Z,,6-Jun-23,6-Jun-23,2-Jul-23,,50,50,1-Jan-24,TECO,June 2023,1/1/2024 0:00,12/31/2023
2100001236,90013701-0040000Z,,6-Jun-23,6-Jun-23,9-Jul-23,,350,350,1-Jan-24,TECO,June 2023,1/1/2024 0:00,12/31/2023
2100001232,90013767-0000000Z,,5-Jun-23,5-Jun-23,13-Jul-23,,8,8,1-Jan-24,TECO,June 2023,1/1/2024 0:00,12/31/2023
2100001176,90013701-0050000Z,,20-May-23,20-May-23,27-Jun-23,,406,406,1-Jan-24,TECO,May 2023,1/1/2024 0:00,12/31/2023
2100001174,90013701-0080000Z,,18-May-23,18-May-23,15-Jun-23,,250,250,1-Jan-24,TECO,May 2023,1/1/2024 0:00,12/31/2023
2100001173,90013767-0000000Z,,17-May-23,17-May-23,13-Jul-23,,10,10,1-Jan-24,TECO,May 2023,1/1/2024 0:00,12/31/2023
2100001167,90013701-00500A0Z,,9-May-23,9-May-23,11-Jun-23,,300,300,1-Jan-24,TECO,May 2023,1/1/2024 0:00,12/31/2023
2100001141,90013701-0080000Z,,1-May-23,2-May-23,4-Jun-23,,50,50,1-Jan-24,TECO,May 2023,1/1/2024 0:00,12/31/2023
2100001139,90082888-0080000Z,,27-Apr-23,27-Apr-23,,,1,0,1-Jan-24,TECO,April 2023,1/1/2024 0:00,12/31/2023
2100001134,90013767-0000000Z,,26-Apr-23,26-Apr-23,13-Jul-23,,50,50,1-Jan-24,TECO,April 2023,1/1/2024 0:00,12/31/2023
2100001125,90013701-0040000Z,,18-Apr-23,18-Apr-23,28-May-23,,250,250,1-Jan-24,TECO,April 2023,1/1/2024 0:00,12/31/2023
2100001115,90013701-0050000Z,,11-Apr-23,11-Apr-23,28-May-23,,250,250,1-Jan-24,TECO,April 2023,1/1/2024 0:00,12/31/2023
2100001113,90013701-0050000Z,,8-Apr-23,14-Apr-23,,,1,0,1-Jan-24,TECO,April 2023,1/1/2024 0:00,12/31/2023
2100001110,90082888-00800A0Z,,6-Apr-23,6-Apr-23,18-May-23,,955,955,1-Jan-24,TECO,April 2023,1/1/2024 0:00,12/31/2023
2100001108,90013701-0040000Z,,4-Apr-23,4-Apr-23,18-May-23,,50,50,1-Jan-24,TECO,April 2023,1/1/2024 0:00,12/31/2023
2100001103,69213809-0300100Z,,3-Apr-23,3-Apr-23,27-Jun-23,,243,243,1-Jan-24,TECO,April 2023,1/1/2024 0:00,12/31/2023
2100001100,69213809-0300000Z,,30-Mar-23,3-Apr-23,,,1,0,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001101,90013767-0000000Z,,30-Mar-23,30-Mar-23,13-Jul-23,,250,250,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001102,90013767-0010000Z,,30-Mar-23,30-Mar-23,13-Jul-23,,250,250,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001097,90013701-0050000Z,,29-Mar-23,29-Mar-23,18-May-23,,50,50,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001098,9006G189-0010310Z,,29-Mar-23,29-Mar-23,,,1,0,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001093,90082888-0080000Z,,24-Mar-23,24-Mar-23,,,1,0,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001087,90013767-0010000Z,,19-Mar-23,19-Mar-23,16-Apr-23,,50,50,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001084,90013767-0000000Z,,16-Mar-23,16-Mar-23,,,1,0,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001083,90082888-0080000Z,,13-Mar-23,13-Mar-23,,,1,0,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001081,90013767-0000000Z,,10-Mar-23,14-Mar-23,16-Apr-23,,50,50,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001080,90082888-0080000Z,,8-Mar-23,8-Mar-23,,,1,0,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001078,90082888-0080000Z,,7-Mar-23,7-Mar-23,,,1,0,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001065,90082888-0080000Z,,24-Feb-23,24-Feb-23,20-Apr-23,,250,250,1-Jan-24,TECO,February 2023,1/1/2024 0:00,12/31/2023
2100001048,90082888-0080000Z,,9-Feb-23,15-Feb-23,15-Mar-23,,50,50,1-Jan-24,TECO,February 2023,1/1/2024 0:00,12/31/2023
2100001025,9006G189-0010310Z,,25-Jan-23,12-Feb-23,,,1,0,1-Jan-24,TECO,January 2023,1/1/2024 0:00,12/31/2023
2100000997,9006G189-0010310Z,,29-Dec-22,29-Dec-22,,,920,917,1-Jan-24,TECO,December 2022,1/1/2024 0:00,12/31/2023
2100000996,9006G189-0010310Z,,21-Dec-22,21-Dec-22,29-Jan-23,,500,500,1-Jan-24,TECO,December 2022,1/1/2024 0:00,12/31/2023
2100000978,9006G189-0010310Z,,28-Nov-22,28-Nov-22,10-Jan-23,,1580,1580,1-Jan-24,TECO,November 2022,1/1/2024 0:00,12/31/2023
2300000621,9006G189-0010310Z,,9-Nov-22,9-Nov-22,,,1,0,1-Jan-24,TECO,November 2022,1/1/2024 0:00,12/31/2023
2100000966,9006G189-0010310Z,,9-Nov-22,9-Nov-22,13-Mar-23,,600,600,1-Jan-24,TECO,November 2022,1/1/2024 0:00,12/31/2023
2100000928,9006G189-0010310Z,,4-Oct-22,4-Oct-22,10-Jan-23,,45,45,1-Jan-24,TECO,October 2022,1/1/2024 0:00,12/31/2023
2100000922,9006G189-0010310Z,,24-Sep-22,24-Sep-22,10-Jan-23,,300,300,1-Jan-24,TECO,September 2022,1/1/2024 0:00,12/31/2023
2100000912,9006G189-0010310Z,,6-Sep-22,,,,1,0,1-Jan-24,TECO,September 2022,1/1/2024 0:00,12/31/2023
2100000913,9006G189-0010310Z,,6-Sep-22,,,,1,0,1-Jan-24,TECO,September 2022,1/1/2024 0:00,12/31/2023
2100000911,9006G189-0010310Z,,5-Sep-22,,,,1,0,1-Jan-24,TECO,September 2022,1/1/2024 0:00,12/31/2023
