Order,Material,Material description,Created On,Release date (actual),Confirmed finish date,System Status,Order quantity (GMEIN),Delivered quantity (GMEIN),Change date,Status,Created On (bins),Closed Date,Closed Date (bins)
2600001023,69913924-0000000P,,17-Jul-24,17-Jul-24,,,1,0,1-Jan-25,TECO,July 2024,1/1/2025 0:00,12/29/2024
2600001022,69913924-0000000P,,16-Jul-24,16-Jul-24,,,1,0,1-Jan-25,TECO,July 2024,1/1/2025 0:00,12/29/2024
2900000785,9002G530-0030000P,,16-Jul-24,16-Jul-24,,,1,0,1-Jan-25,TECO,July 2024,1/1/2025 0:00,12/29/2024
2600001021,69924821-0000300P,,11-Jul-24,11-Jul-24,,,1,0,1-Jan-25,TECO,July 2024,1/1/2025 0:00,12/29/2024
2600001016,6992G548-0211ES0P,,8-Jul-24,8-Jul-24,,,1,0,1-Jan-25,TECO,July 2024,1/1/2025 0:00,12/29/2024
2600001017,69925210-0001TS5P,,8-Jul-24,8-Jul-24,,,1,0,1-Jan-25,TECO,July 2024,1/1/2025 0:00,12/29/2024
2900000783,9652G520-0100000P,,8-Jul-24,8-Jul-24,,,1,0,1-Jan-25,TECO,July 2024,1/1/2025 0:00,12/29/2024
2900000784,9652G520-0900000P,,8-Jul-24,8-Jul-24,,,1,0,1-Jan-25,TECO,July 2024,1/1/2025 0:00,12/29/2024
2600001013,69925261-0000TS3P,,26-Jun-24,26-Jun-24,,,1,0,1-Jan-25,TECO,June 2024,1/1/2025 0:00,12/29/2024
2600001011,6992G520-0280410P,,25-Jun-24,25-Jun-24,,,1,0,1-Jan-25,TECO,June 2024,1/1/2025 0:00,12/29/2024
2600001007,6992G548-0201EB4P,,18-Jun-24,18-Jun-24,,,1,0,1-Jan-25,TECO,June 2024,1/1/2025 0:00,12/29/2024
2600001006,6912G525-2220TS4P,,17-Jun-24,17-Jun-24,,,1,0,1-Jan-25,TECO,June 2024,1/1/2025 0:00,12/29/2024
2600001003,69913925-1099TS1P,,6-Jun-24,6-Jun-24,,,1,0,1-Jan-25,TECO,June 2024,1/1/2025 0:00,12/29/2024
2600001004,69913925-1099TS1P,,6-Jun-24,6-Jun-24,,,1,0,1-Jan-25,TECO,June 2024,1/1/2025 0:00,12/29/2024
2600001000,69513740-001200AZ,,5-Jun-24,5-Jun-24,,,1,0,1-Jan-25,TECO,June 2024,1/1/2025 0:00,12/29/2024
2600001001,69913809-0404500P,,5-Jun-24,5-Jun-24,,,1,0,1-Jan-25,TECO,June 2024,1/1/2025 0:00,12/29/2024
2600001002,69913809-0404500P,,5-Jun-24,5-Jun-24,,,1,0,1-Jan-25,TECO,June 2024,1/1/2025 0:00,12/29/2024
2600000998,69913924-0000000P,,3-Jun-24,3-Jun-24,,,1,0,1-Jan-25,TECO,June 2024,1/1/2025 0:00,12/29/2024
2900000781,67014747-0000TS1P,,3-Jun-24,3-Jun-24,,,1,0,1-Jan-25,TECO,June 2024,1/1/2025 0:00,12/29/2024
2600000992,69925236-0000000P,,28-May-24,28-May-24,,,1,0,1-Jan-25,TECO,May 2024,1/1/2025 0:00,12/29/2024
2600000988,6912G525-2200EB6P,,17-May-24,17-May-24,,,1,0,1-Jan-25,TECO,May 2024,1/1/2025 0:00,12/29/2024
2600000989,6912G525-2200EB2P,,17-May-24,17-May-24,,,1,0,1-Jan-25,TECO,May 2024,1/1/2025 0:00,12/29/2024
2600000990,6912G525-2200EB1P,,17-May-24,17-May-24,,,1,0,1-Jan-25,TECO,May 2024,1/1/2025 0:00,12/29/2024
2600000983,6992G520-0200410P,,10-May-24,10-May-24,,,1,0,1-Jan-25,TECO,May 2024,1/1/2025 0:00,12/29/2024
2600000984,69924804-0200100P,,10-May-24,10-May-24,,,1,0,1-Jan-25,TECO,May 2024,1/1/2025 0:00,12/29/2024
2600000963,69924764-0001EB2P,,16-Apr-24,16-Apr-24,,,1,0,1-Jan-25,TECO,April 2024,1/1/2025 0:00,12/29/2024
2600000941,69122020-2200TS1P,,4-Mar-24,4-Mar-24,,,1,0,1-Jan-25,TECO,March 2024,1/1/2025 0:00,12/29/2024
2600001074,6991G144-0030EB6P,,20-Nov-24,20-Nov-24,,,1,0,1-Jan-25,TECO,November 2024,1/1/2025 0:00,12/29/2024
2600001071,69213809-0300100Z,,12-Nov-24,12-Nov-24,,,1,0,1-Jan-25,TECO,November 2024,1/1/2025 0:00,12/29/2024
2900000822,67526287-00A1QS1P,,6-Nov-24,6-Nov-24,,,1,0,1-Jan-25,TECO,November 2024,1/1/2025 0:00,12/29/2024
2600001047,6992G548-0201TS3P,,1-Oct-24,1-Oct-24,,,1,0,1-Jan-25,TECO,October 2024,1/1/2025 0:00,12/29/2024
2900000803,67526287-0000TS4P,,17-Sep-24,17-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2600001042,DOE CERAMIC BOARD,,12-Sep-24,12-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2900000802,DOE CERAMIC BOARD,,12-Sep-24,12-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2600001039,69913932-0100TS1P,,10-Sep-24,10-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2900000799,69414029-0000000Z,,5-Sep-24,5-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2900000796,94063960-H310A00P,,4-Sep-24,4-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2600001014,6992G548-0201EB3P,,27-Jun-24,27-Jun-24,,,1,0,1-Jan-25,TECO,June 2024,1/1/2025 0:00,12/29/2024
2600001015,6992G520-0200RCDP,,27-Jun-24,27-Jun-24,,,1,0,1-Jan-25,TECO,June 2024,1/1/2025 0:00,12/29/2024
2600001012,6922G520-0200000P,,25-Jun-24,25-Jun-24,,,1,0,1-Jan-25,TECO,June 2024,1/1/2025 0:00,12/29/2024
2600001009,6992G548-0211EB4P,,21-Jun-24,21-Jun-24,,,1,0,1-Jan-25,TECO,June 2024,1/1/2025 0:00,12/29/2024
2600001005,69924764-0001TS1P,,13-Jun-24,13-Jun-24,,,1,0,1-Jan-25,TECO,June 2024,1/1/2025 0:00,12/29/2024
2900000782,94023940-0000000Z,,5-Jun-24,5-Jun-24,,,1,0,1-Jan-25,TECO,June 2024,1/1/2025 0:00,12/29/2024
2600000997,18013924-DAAFA00P,,3-Jun-24,3-Jun-24,,,1,0,1-Jan-25,TECO,June 2024,1/1/2025 0:00,12/29/2024
2900000780,69213809-0300100Z,,1-Jun-24,1-Jun-24,,,1,0,1-Jan-25,TECO,June 2024,1/1/2025 0:00,12/29/2024
2600000996,69914810-0000300P,,31-May-24,31-May-24,,,1,0,1-Jan-25,TECO,May 2024,1/1/2025 0:00,12/29/2024
2900000778,9652G520-0000000P,,31-May-24,31-May-24,,,1,0,1-Jan-25,TECO,May 2024,1/1/2025 0:00,12/29/2024
2900000779,9652G520-0100000P,,31-May-24,31-May-24,,,1,0,1-Jan-25,TECO,May 2024,1/1/2025 0:00,12/29/2024
2600000995,6992G548-0201EB3P,,30-May-24,30-May-24,,,1,0,1-Jan-25,TECO,May 2024,1/1/2025 0:00,12/29/2024
2600000993,69924764-0001TS1P,,29-May-24,29-May-24,,,1,0,1-Jan-25,TECO,May 2024,1/1/2025 0:00,12/29/2024
2600000994,69915103-0000000P,,29-May-24,29-May-24,,,1,0,1-Jan-25,TECO,May 2024,1/1/2025 0:00,12/29/2024
2600000991,6992G520-0202400P,,20-May-24,20-May-24,,,1,0,1-Jan-25,TECO,May 2024,1/1/2025 0:00,12/29/2024
2600000987,6912G525-2200EB7P,,17-May-24,17-May-24,,,1,0,1-Jan-25,TECO,May 2024,1/1/2025 0:00,12/29/2024
2600000985,6992G520-0200QS1P,,15-May-24,15-May-24,,,1,0,1-Jan-25,TECO,May 2024,1/1/2025 0:00,12/29/2024
2600000986,6992G520-0200QS1P,,15-May-24,15-May-24,,,1,0,1-Jan-25,TECO,May 2024,1/1/2025 0:00,12/29/2024
2600000982,6992G520-0200QS1P,,8-May-24,8-May-24,,,1,0,1-Jan-25,TECO,May 2024,1/1/2025 0:00,12/29/2024
2600000979,6922G510-0200000P,,7-May-24,7-May-24,,,1,0,1-Jan-25,TECO,May 2024,1/1/2025 0:00,12/29/2024
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
